Part Number,QtyRealTimeOnHand,QtyOnPurchaseOrder,Minimum_Stock_Level,Custom_Real_01
TLX-WG-2400K-SP,258,0,0,1
TLX-WG-2700K-SP,1621,0,1500,1
TLX-WG-3000K-SP,1261,0,1500,1
TLX-WG-5700K-SP,26,0,0,1
TLX-WG-BKT,2049,0,500,1
TLX-WG-CH,4705.42,0,5000,1
TLX-WG-CH-MILL,350,0,0,1
TLX-WG-LVR,1935.5,0,2000,1
TLX-WG-LVR-R,300,0,0,1
TLX-WW,285,0,0,1
TLXBK-FC200,381,0,100,1
TLXBK-FC50,126,0,100,1
TLXBK-LC-CLB,133,0,50,1
TP-01,9022,0,2500,1
TP-02,4544,0,2500,1
TP-03,559,0,0,1
TP-RF,1182,0,0,1
TRI-100-RGB,1149.89,0,1500,0.328
TRI-150-RGB,1402.44,0,1500,0.492
TRI-300-RGB,0,0,0,1.02
TRI-50-RGB,1227.558,0,1500,0.164
TRI-CH-B-SC,402.17,0,100,1
TRI-CH-C-SC,208.34,0,100,1
TRI-CH-ECD,376,0,100,1
TRI-CH-ECL,312,0,100,1
TRI-LEAD,1479.8,0,1000,3.28
TRI-LNS,1418,0,1000,1
TRI-MC,1911,0,1000,1
TRI-MT,3986.173,0,2500,8.2
TRI-PF,1010,0,1000,1
TS-101,2675,0,2000,1
TTC-F,57,0,50,1
TTC-M,57,0,50,1
TXB-W,4368.39,0,2500,1
TXRC-W,23823.96,0,5000,1
TXS-CS,2760.2,0,0,1
WAGO-CON-3P,0,0,0,0
WFL-1,6719,0,1000,1
WM-1020,20,0,0,1
WM-1220,79,0,40,1
WP-101A,1495,0,0,1
WP-L01C,69130.219,0,25000,1
WP-L02C,24338.916,0,25000,1
XB-3F,3465,500,2500,1
XB-5F,2210.08,0,0,1
XB-8F,23294.2,0,0,1
