Part Number,Qty Ordered,UM_Multiplier
GRX-EC,3,1
ENCL12124-3R,3,1
LDR24-16,3,1
LC-1CH-MULTI,3,1
LC-GR-DP,3,1
MARK,0,1
 ,1,1
EX-S14-CL,590,1
EX-WR,690,1
EX-UB-WW,590,1
RV-SEAL,1180,1
EX-USK-BK,590,1
T24-600,3,1
EX-TK,40,1
EX-SCR,2360,1
EX-CNT,1180,1
CABLE-BK,590,1
EX-MDA-BK,590,1
EX-LSK-BK,590,1
EX-OR-22,1180,1
LOT,0,1
EX-OR-22,720,1
EX-USK-BK,360,1
EX-CNT,720,1
RV-SEAL,720,1
EX-LSK-BK,360,1
EX-MDA-BK,360,1
ECD-BK,5,1
T24-150,5,1
 ,0,1
AVXF-75,100,1
AVXF-2400K,400,1
ECL-WH,8,1
ECD-WH,8,1
LDR24-96,8,1
LC-1CH-MULTI,8,1
AVXF-MC,100,1
AV-MS,800,1
WFL-1,400,1
 ,0,1
 ,0,1
CT-B,40,1
CL-30,40,1
CLED-2000K,406.4,1
ECM-L,2,1
CTO-CP,40,1
LDR8-80,1,1
LC-1CH-MULTI,2,1
WM-1020,1,1
 ,0,1
 ,0,1
MC-S,54,1
CL-30,54,1
MC-BW,54,1
CLED-2000K,548.64,1
ECM-L,3,1
CTO-CP,50,1
LDR8-80,1,1
LDR8-40,1,1
LC-1CH-MULTI,3,1
 ,0,1
 ,0,1
CABLE-BK,360,1
EX-G14-CL,360,1
EX-WW,360,1
EX-SCR,1440,1
EX-MDA-BK,95,1
CABLE-BK,95,1
EX-S14-CL,95,1
EX-WW,95,1
EX-SCR,380,1
RV-SEAL,190,1
EX-OR-22,190,1
EX-USK-BK,95,1
MARK,0,1
T24-100,1,1
EX-TK,2,1
EX-WR,100,1
EX-LSK-BK,95,1
EX-CNT,190,1
EX-USK-BK,29.04,1
EX-CNT,58.08,1
EX-MDA-BK,30,1
T24-150,1,1
CABLE-BK,44,1
EX-SPH-CL,29.04,1
RV-SEAL,58.08,1
EX-LSK-BK,29.04,1
EX-SCR,116.16,1
EX-OR-22,58.08,1
EX-WW,29.04,1
MARK,0,1
WP-L02C,1789.76,1
FLBK-210-HM,1233.656,1
HC-10/PLUG,48,1
HC-10/BOX-GSKT,12,1
LDR8-40,5,1
LDR8-80,9,1
TLED-IW-UB,1789.76,1
LDR24-60,1,1
WAGO-CON-3P,2,1
LC-DMR-SVK,1,1
 ,1,1
LOT,0,1
MDBS-3500K-L1200-CP,1,1
MDS-500-CP,2,1
MDS-MAG,2,1
WAGO-CON-3P,2,1
LC-DMR-EZ,1,1
LC-1CH-MULTI,4,1
LOT,0,1
 ,1,1
 ,0,1
EX-MDA-BK,40,1
EX-WR,90,1
EX-TK,2,1
ECD-BK,1,1
T24-300/277,1,1
EX-MDA-BK,90,1
EX-WR,200,1
EX-TK,4,1
ECD-BK,2,1
T24-300/277,2,1
EX-MDA-BK,50,1
EX-WR,110,1
EX-TK,2,1
ECD-BK,1,1
T24-300/277,1,1
EX-MDA-BK,53,1
EX-WR,115,1
EX-TK,2,1
ECD-BK,1,1
T24-300/277,1,1
 ,0,1
LDR8-80,3,1
TRI-CH-ECD,3,1
TRI-CH-ECL,3,1
LDR8-80,4,1
TRI-CH-ECL,4,1
TRI-CH-ECD,4,1
LDR8-80,1,1
TRI-CH-ECL,1,1
TRI-CH-ECD,1,1
LDR8-80,1,1
TRI-CH-ECD,1,1
TRI-CH-ECL,1,1
LDR8-80,2,1
TRI-CH-ECD,2,1
TRI-CH-ECL,2,1
CABLE-BK,80,1
EX-LSK-BK,40,1
EX-OR-22,80,1
EX-SPH-CL,40,1
EX-SCR,160,1
EX-VI-IW,40,1
EX-CNT,80,1
EX-USK-BK,40,1
RV-SEAL,80,1
 ,0,1
CABLE-BK,180,1
EX-LSK-BK,90,1
EX-OR-22,180,1
EX-SCR,360,1
EX-SPH-CL,90,1
RV-SEAL,180,1
EX-USK-BK,90,1
EX-VI-WW,90,1
EX-CNT,180,1
 ,0,1
CABLE-BK,100,1
EX-LSK-BK,50,1
EX-OR-22,100,1
EX-SPH-CL,50,1
EX-SCR,200,1
EX-VI-IW,50,1
EX-CNT,100,1
EX-USK-BK,50,1
RV-SEAL,100,1
 ,0,1
CABLE-BK,105,1
EX-LSK-BK,52.5,1
EX-OR-22,105,1
EX-SPH-CL,52.5,1
EX-SCR,210,1
EX-VI-IW,52.5,1
EX-CNT,105,1
EX-USK-BK,52.5,1
RV-SEAL,105,1
 ,0,1
LUM-100-IW,30,1
TRI-CH-B-SC,3.6,1
TRI-CH-C-SC,3.6,1
LC-1CH-MULTI,6,1
 ,0,1
LUM-100-IW,60,1
TRI-CH-B-SC,7.2,1
TRI-CH-C-SC,7.2,1
LC-1CH-MULTI,8,1
 ,0,1
LUM-100-IW,25,1
TRI-CH-B-SC,3,1
TRI-CH-C-SC,3,1
LC-1CH-MULTI,2,1
 ,0,1
LUM-100-IW,40,1
TRI-CH-B-SC,4.8,1
TRI-CH-C-SC,4.8,1
LC-1CH-MULTI,2,1
 ,0,1
LUM-100-IW,50,1
TRI-CH-B-SC,6,1
TRI-CH-C-SC,6,1
EX-SCR,320,1
CABLE-BK,52.496,1
 ,-1,1
 ,0,1
CABLE-BK,80,1
EX-VI-WW,80,1
EX-USK-BK,80,1
EX-CNT,160,1
EX-LSK-BK,80,1
RV-SEAL,160,1
EX-SPH-CL,80,1
EX-OR-22,160,1
MISC,1,1
AVXF-CP,8,1
 ,1,1
MARK,0,1
LOT,0,1
AVXF-60,10,1
AVXF-2700K,50.8,1
ECL-WH,1,1
ECD-WH,1,1
T24-100,1,1
ECD-WH,1,1
AVXF-MC,2,1
CABLE-BK,322,1
RV-SEAL,322,1
EX-CNT,322,1
EX-SCR,644,1
EX-SPH-CL,161,1
EX-USK-BK,161,1
EX-MDA-BK,162,1
ECD-BK,2,1
EX-TK,4,1
EX-WR,332,1
T24-300,2,1
MARK,0,1
EX-UB-IW,161,1
EX-LSK-BK,161,1
EX-OR-22,322,1
EX-SPH-CL,200,1
EX-OR-22,400,1
MARK,0,1
LOT,0,1
LDR8-80,4,1
 ,1,1
